0|1	Ostenso, |quod nec in potentiis naturalibus, 	stenso quod nec in potentiis naturalibus 	0
2	nec in sensibus habent esse virtutes: 	nec in sensibus habent |esse uirtutes 	1|2
3	restat ostendere, 	restat 	3
4	quomodo distinguuntur virtutes, 	ostendere quomodo dei stingiintur tirtutes* 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	quomodo in appetitu. |intellectu existunt distinguendum est igitur de rirtutibus . 	5|6
6	et de huiusmodi potentiis: 	de huiusmodi potentiis* 	7
7	nam virtutum quaedam sunt intellectuales, 	nam uirtutum quedam sunt intellectuales quedam morales* 	8
8	quaedam morales, 	quedam medie icirer iitellectuales 	9
9|10	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, |cuiusmodi sunt scientiae speculatiuae, 	.morales cututes intellectuales dicuneur ille que sunt in intellectu speculariuo euiusmodi sunt scientie speculatiue* 	10
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut naturalis philosophia geometria methaphisica . 	11
13|14	et caetera talia. Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	cetera talia uirtutes pero simpliciter morales sunt ille que sunt in appetitu 	12
15	siue appetitus ille sit sensitiuus, siue intellectiuus, 	siue appetitus ille sit sensitiuus |siue intellectiuus 	13|14
16|17	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	cuiusmodi autem sunt iusticia remperantia fortitudo mansuetudoccetera talia 	15
18|19	Mansuetudo, |et caetera talia, 	de quibus sumus singulariter traetaruri uirtutes autem medie 	16
20|21	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	inter inrellectu dles . morales sunt uirtutes cristentes in iitellectu practico ut prudentia . alie mirtutes sibl annexe prudentia autem sedem conmentatorem 	17
22	ut Prudentia, 		
23	et aliae virtutes sibi annexae. Prudentia autem, 		
24|25	secundum Commentatorem super libris Ethicorum, |media est 	super libris ethicorum media est 	18
26|27	inter virtutes morales, |et intellectuales; computari 	inter uirtutes morales . intellectuales computari 	19
28	tamen potest 	tamen potest 	20
29	cum virtutibus moralibus: 	cum uirtutibus moralibus* 	21
30	nam Prudentia non est nisi in hominibus bonis, 	nam prudentia non est nisi in hominibus bonisu 	22
31|32	sicut nec virtutes morales: praui enim homines |et si possunt esse scientes, 	sicut nec uirtutes morales* praui enim homines et si possunt esse scienres astuti . 	23
33	astuti, et versipelles; 	uersipelles prudentes 	24
34	prudentes tamen esse non possunt, 	tamen esse non possinit 	25
35	ut suo loco patebit. 	ut suo loscopatebit inde est ergo 	26
36	Inde est ergo quod dicitur 6 Ethic’ 	quod dicitut eui ethiccorum 	27
37	quod impossibile est prudentem esse non existentem bonum. 	quod impossibile est prudentem esse non ersenter bonum . 	28
38|39	Dimissis ergo virtutibus |huiusmodi intellectualibus, 	dimissis ergo uirtutibus buiusmodi initellectualibus 	29
40|41	ut dimissis scientiis speculatiuis, |de prudentia, 	ut dimissis scientiis speculatiuis de prudentia . 	30
42|43	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	de yirtutibus moralibus est tractandum suscepimus enim ut pluries dicimus presens opus non ut sciamus 	31
44	non ut sciamus, 		
45	sed ut boni fiamus: 	sed ut boni fiamus* 	32
46	quae bonitas, 		
47|48	sine prudentia et virtutibus moralibus, |nobis in esse non potest. Has autem virtutes, 	que bonitas sine prudentia . yirtutibus moralibus nobis inesse nonperotest . has auteni uirtutes in inrellectu . 	33
49|50	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	appetitu sic esse coutingit dictum est enim uittutem esse aliquid 	34
51	secundum rationem: 		
52|53	oportet ergo esse rationalem potentiam, in qua potest esse virtus. |Rationale autem duplex est secundum Philosophum, 	secundum rationem oportet etgo esse rationalem potentiam in qua potest esse uirtus rationale autem duplex est sedem philosophum per essentiam . 	35
54|55	per essentiam, |et per participationem. Intellectus autem est rationalis per essentiam. 	per participationem intellectus aurem est rationalis 	36
56	Appetitus vero per participationem. 	per essentiam appetitus uero per participationem 	37
57	Nam appetitus licet non sit ipse intellectus, 	nam apperitus licet |non sit 	38|39
58|59	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	ipse intellectus uel inpsa ratio essentialiter dicitur 	40
60|61	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, |nec sunt rationales per essentiam, 	tamen participare rastionemquia est aptus natus rationi obedire porentie autem naturales . sensus* nec sunt tationales pen essentiam 	41
62|63	quia non sunt ipsa ratio: |nec ratione participant, 	quia non sunt ipsa ratio nec ratione participant 	42
64	quia per se, 	quia per se . 	43
65	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	secundum quod huiusmodi non obediunt rationi igit in sensibus . 	44
66	et in potentiis naturalibus 	in potentiis natura libus 	45
67	(ut supra dicebatur) 	ut fupra dicebatur 	46
68	non habent esse virtutes, 	non habent esse uirtuites* 	47
69	sed solum esse habent in intellectu, et appetitu. 	sed solum esse habent in intellectu . 	48
70|71	In nobis autem duplex est appetitus, intellectiuus, |et sensitiuus. 	appetiris ue in nobis autem duplex est appetitus intellectiuus . 	49
72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, 	sensifiuns hamn sieur appetitus |nacuralls sequitur formam naturaliter adeptam 	50|51
73|74	sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. |Sicut enim grauia, 	sie apperitus cognitiuus sequitur foram pent cognitionem apprehensam sicur enim grauia 	52
75	ex eo quod habent formam grauis, 	ex eo quod habent formam grauis* fequitur 	53
76	sequitur ea quaedam naturalis inclinatio, 	ea quadam naturalins inclinatio . 	54
77	et quidam appetitus naturalis, 	quidam appetitus naturalis 	55
78	ut naturaliter desiderent esse deorsum: 	ut naturaliper desiderent esse deorsum 	56
79	sic habentia cognitionem prout habent in seipsis formam apprehensam, 	sic babentia cognitionem piout habent ln selpsis formam appiehensam sequitur 	57
80	sequitur quaedam inclinatio, 	quedam melinatio . 	58
81	et quidam appetitus 	quidam appetitus 	59
82|83	secundum formam illam. |Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	secundum formam illamum propter quod sicur in nobis duplex est coguitio sensitiia . intellectiuas 	60
84	sic 	etiam est 	61
85|86	etiam est in nobis duplex appetitus, |videlicet, sensitiuus, 	in nobis duplex appetitus yidelicet sensitiuus qsequitur formam 	62
87|88	qui sequitur formam apprehensam per sensum: |et intellectiuus, 	apprehensam per sensum . intellectiuus 	63
89|90	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. |Nam cum animalia sint supra inanimata, 	qui sequitur formami apprehensam per intellectum alppetitus autem sensitiuus duplex est nam cum anualia sint supra manimata si notura elementis . 	64
91	si natura elementis 		
92|93	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	rebus inanima tis dedit duplicem potentiam unam per quam tendunt in propriam quietem . 	65
94	et aliam per quam resistunt, 	aliam per quam resistunt . 	66
95	et agunt in prohibentia, 		
96|97	et in contraria: |multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	agunt in prohibentia . incontraria multo magis hane duplicem potentiam natuta dedit ipsis animalibus 	67
98	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	que sunt perfectio ra illise cidemus enim quod ignis naturalirer est calidus 	68
99	et leuis per leuitatem autem tendit in locum proprium, 	et leuis per leuitatem aurem tendit in locum proprium . 	69
100|101	et in quietem sibi conuenientem: |per caliditatem vero agit in contraria: 	in quietem sibi conuenientem per caliditatem uero agit in contratia 	70
102	ne ergo ignis per quaecunque contraria agentia impediretur, 	ne ergo iignis per quecunque contraria agentia impediretur 	71
103|104	ne per leuitatem in proprio loco quiesceret, |dedit ei natura potentiam calefactiuam, 	ne per leuitatem in proprio loco quiesceret dedit ei natura potentiam calefactiuam 	72
105	ut per eam resisteret, et ageret in contraria corruptiua. 	ut per eam resisteret . ageret in contraria corruptiua 	73
106	Si ergo igni, 	si ergo igni . 	74
107|108	et rebus inanimatis natura dedit duplicem potentiam, |unam per quam adipiscuntur propriam quietem, 	rebus inanimaris namtura dedit duplicem potentlam ynam per quam adipiscuntur propriam quietem . 	75
109	et aliam per quam agunt in prohibentia et contraria: 	aliam per quam agunt in prohibentia . 	76
110	multo magis hoc dedit animalibus. 	contraria multomagis boc dedit auimalibus* tribuit 	77
111	Tribuit ergo eis duplicem appetitum sensitiuum, 	ergo eis duplirem appeticum sensiterinum ynum 	78
112|113	unum per quem prosequuntur propriam quietem, |et propriam delectationem, 	per quem cosi sequitur propriam quietem . 	79
114|115	ut concupiscibilem: |et alium per quem resistunt, 	propriam delectationemur concupiscibilem . aliumn per quem resistant . 	80
116	et aggrediuntur prohibitiua, 	aggrediuntur 	81
117|118	ut contraria, |ut irascibilem. 	prohibiriua ux contraria 	82
119|120	Ita quod concupiscibilis se habet sicut leuitas, |vel grauitas, 	ut irascibilem ita quod concuplibibilis se habet sicur leuitas uel grauicas in leuibus 	83
121	in leuibus, 	et grauibus irascibilis uero se habet 	84
122|123	et grauibus. Irascibilis vero se habet quasi caliditas, |vel frigiditas in eis. 	quasi caliaitas uel frigiditas in eisuam sicur grauia per grauitatem recedunt 	85
124|125	Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente, |et tendunt in locum deorsum tanquam ad locum conuenientem, 	a loco sursum tanquam a non conueniente . tendunt in locum deorsum tanquam ad locum conuenientem . 	86
126|127	et conformem: |per frigiditatem vero resistunt contrariis, 	conformem> frigiditatem uero resistunt contrarnse corrumpantur 	87
128	ne corrumpantur a propria natura, 	a propria natura 	88
129|130	et deserant propria loca, |et propriam quietem. 	et deseruit propria loca . 	89
131|132	Sic animalia per concupiscibilem fugiunt mala tristia, |et prosequuntur bona delectabilia. 	propriam quierem sic atimalis per concupsscibilem fuguunt mala tristia sprosequuntur bona delectabilia 	90
133	Per irascibilem vero aggrediuntur contraria, 	per inrascibilem pero aggrediuntur contrariaque possent 	91
134|135	quae possent ea ab huiusmodi delectationibus prohibere. |Ut Leo per concupiscibilem pergit, 	ea ab huiusmodi delecrationibus prohibereum leo per concupiscibilem pergir 	92
136|137	ut prosequatur cibum |tanquam quid delectabile: 	ut prosequatur cibum tanquam quid delectabile per irascibilem yero aggreditur 	93
138|139	per irascibilem vero aggreditur animalia illa volentia ipsum prohibere in cibo adepto. |Propter quod bene dictum est, 	ammalia illa yolentia inspum prohibere in cibo adepto propter quod bene dictum est quod concupiscibilis respicit bonum . 	94
140|141	quod concupiscibilis respicit bonum, |et malum 	malum sederi se irascibilis reto respicit bonum . tualum 	95
142	secundum se: 		
143	irascibilis vero respicit bonum, 		
144|145	et malum inquantum habent rationem difficilis, |et ardui. Nam cum bonum 	inquantum habent rationem difficilis . ardui* 	96
146|147	secundum se dicat prosequendum, |malum vero quid fugiendum: 	nam eum bonum scdm se dicat prosequendum malum rero que fugiendum concupiscibilis 	97
148|149	concupiscibilis, |quae secundum se tendit in quietem 	que scdm se tendit in quierem . 	98
150	et in bona delectabilia, 	in bona delectabilia : 	99
151|152	et fugit mala tristia, |pro obiecto habet mala, 	. fugit mala tristia pro obiecto habet mala . 	100
153	et bona sensibilia 	bona sesibilia 	101
154|155	secundum se considerata. Irascibilis vero, |secundum quam aggredimur, 	secundum se considerata irascibills rero seeundum quam aggredumur . resistimus prohibentibus . nociuis* tendit in bona . 	102
156	et resistimus prohibentibus, 		
157	et nociuis, 		
158	tendit in bona, et mala sensibilia, 		
159|160	non secundum se considerata, |sed ut habent rationem ardui, 	mala sensibilia non secundi se considerata sed ut habent rationem ardui . 	103
161	et difficilis: 	difficilis* 	104
162	nam arduitas, 		
163	et difficultas potissime sunt repugnantia, 		
164	et prohibentia, 		
165	ne possimus consequi bonum, 		
166|167	et vitare malum. Imperfecto ergo egisset natura, |si dedisset animalibus concupiscibilem, 	nam arduiras . difficulras potissime sunt repugnantia . prohibentia ne possimus consequi bonum . uitare mamlum impersecte ergo egisser natura si dedisser animalibus concupiscibilem 	105
168|169	per quam vitarent mala, |et prosequerentur bona, 	per quam uitarent mala . prosequerentur bona 	106
170|171	nisi dedisset eis irascibilem, |per quam aggrederentur impedientia delectationem illam: 	nisi dedisset eis irascibilem per quam agrederentur impedientia delectationem illamum 	107
172|173	ut igitur animalia, |secundum modum sibi conuenientem, 	ut igitur animalia scdm modum sibi conuenientem prourbene possint 	108
