0|1	Ostenso, |quod nec in potentiis naturalibus, 	enso quod nec in potetiis naturalibus 	0
2	nec in sensibus habent esse virtutes: 	nec in sem sibut habent |esse uirtutes 	1|2
3	restat ostendere, 	restat 	3
4	quomodo distinguuntur virtutes, 	ostendere quomodo distingumtur uirtutes 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quomodo inintellectu et appetitu existunt distinguendum est ergo de uirtutibus 	5
6	et de huiusmodi potentiis: 	et huius potenciis 	6
7|8	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	nam uirtutum quedam sunt intellectualesquedam morales quedam medieinter intellectuales 	7
9|10	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, |cuiusmodi sunt scientiae speculatiuae, 	et morales uirtutes intellectuales dicuntur ille que sunt in intellectu speculatiuo eius scientie sunt speculatiue 	8
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut naturalis philosophia geometria methaphisica . 	9
13	et caetera talia. Virtutes vero simpliciter morales sunt illae, 	catentalia uirtutes uero 	10
14|15	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, siue intellectiuus, 	sin plicit morales sunt ille que sunt in appetitum siue appetitus ille sit sensitiuus 	11
16	cuiusmodi sunt Iustitia, 	sine intelletiuus 	12
17|18	Temperantia, Fortitudo, |Mansuetudo, 	cuius modi autem surit uusticia temperancia fortitudo mansuetudo 	13
19	et caetera talia, 	et cetera talia 	14
20	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	de quibus simus singulariter tractatim toirtutes autem medie inter intellectuales . 	15
21	sunt virtutes existentes in intellectu practico, 	morales sunt uirtutes existentes in intlsctu practico 	16
22	ut Prudentia, 	et pridentia 	17
23	et aliae virtutes sibi annexae. Prudentia autem, 	et alie uirtutes igitur annexe prudentia 	18
24	secundum Commentatorem super libris Ethicorum, 	secundum conmentatorem supralibrum ethicorum 	19
25|26	media est |inter virtutes morales, 	media er inter untutes morales 	20
27|28	et intellectuales; computari |tamen potest 	et intellectuales computari tamum pocest 	21
29	cum virtutibus moralibus: 	cum nurtutibus moralibu 	22
30	nam Prudentia non est nisi in hominibus bonis, 	nam prudentia non in est nisi hominibus bonise sicut 	23
31	sicut nec virtutes morales: praui enim homines 	nec uirtutes morales praui enim homines 	24
32	et si possunt esse scientes, 	et si possent esse scientes hastuti . 	25
33	astuti, et versipelles; 	unsipelles pru dentes 	26
34	prudentes tamen esse non possunt, 	tamen esse |non possunt 	27|28
35	ut suo loco patebit. 	ut loco suo patebit 	29
36	Inde est ergo quod dicitur 6 Ethic’ 	inde est ergo que dicitur euinodo ethicorum 	30
37|38	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus 	quod in possibile est prudenter bonum omissis igituruirtutibus intellectualibus 	31
39	huiusmodi intellectualibus, 		
40|41	ut dimissis scientiis speculatiuis, |de prudentia, 	et dimissis sciem ciis speculatiuis de prudencia 	32
42|43	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et uurtutibus moralibum est tractandum incepimus enim ut plueries diximus presens opus non ut sciamus set 	33
44|45	non ut sciamus, |sed ut boni fiamus: 	ut bonisiamus 	34
46	quae bonitas, 	que bonitas 	35
47	sine prudentia et virtutibus moralibus, 	sine prudentia 	36
48	nobis in esse non potest. Has autem virtutes, 	et iurtutibus moralibus nibi in esse non poter has autem uirtutes 	37
49|50	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	imtlletu tu appetitum sic esse contingit uictum est enim uirtutem esse aliquid 	38
51	secundum rationem: 		
52|53	oportet ergo esse rationalem potentiam, in qua potest esse virtus. |Rationale autem duplex est secundum Philosophum, 	secundum ronnem opportet ergo esse racionalem potenciam in qua ponitin ce untus racionale autere duplx est 	39
54	per essentiam, 		
55|56	et per participationem. Intellectus autem est rationalis per essentiam. |Appetitus vero per participationem. 	secundum pobencum per essenciam . partitipationem intellectus autem est rannalis pereentiam appetitus uero per participacionem appetitus licet 	40
57	Nam appetitus licet non sit ipse intellectus, 	non sit ille intellectus 	41
58	vel ipsa ratio essentialiter, 	uel ipsa racio essentialiter diciter 	42
59	dicitur tamen participare rationem, 	tamen participare ronon 	43
60	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quia est aptus natus ronni obedire potencie autem naturales semsus 	44
61	nec sunt rationales per essentiam, 	nec sunt ronuales per eenciam 	45
62|63	quia non sunt ipsa ratio: |nec ratione participant, 	quia non ipsa ratio sunt nec ronne participant 	46
64	quia per se, 	quia per se 	47
65	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	secundum quod huius non obediunt rationi igitur in potencus 	48
66	et in potentiis naturalibus 	et in sensibus naturalibus 	49
67	(ut supra dicebatur) 	ut supra dicebatur 	50
68	non habent esse virtutes, 	non habent esse uirtutes 	51
69|70	sed solum esse habent in intellectu, et appetitu. |In nobis autem duplex est appetitus, intellectiuus, 	set solum esse habent in milectu in nobis autem duphoc est appetitus naturalis 	52
71	et sensitiuus. 	et cognituus naturalis 	53
72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, 	ant sequitur formam naturaliter adeptam sicut appetitus sensituius cognitius 	54
73|74	sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. |Sicut enim grauia, 	sequitur formam apprehensam 	55
75|76	ex eo quod habent formam grauis, |sequitur ea quaedam naturalis inclinatio, 	sicut enim grauia ex eo quod habent formam grauis sequitur eaquedam natinalis indinacio 	56
77	et quidam appetitus naturalis, 	et quida appetitus naturalis 	57
78	ut naturaliter desiderent esse deorsum: 	ut uaturaliter desiterant esse dorsum 	58
79|80	sic habentia cognitionem prout habent in seipsis formam apprehensam, |sequitur quaedam inclinatio, 	sic hncia cognicioni prout habent in se ipsis formam apperhensam sequitin quedam indinacio 	59
81|82	et quidam appetitus |secundum formam illam. 	et quidam appetitus scom formam illam propter quod sicut est ui nibi duplex cognicio sensitiua 	60
83|84	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: |sic 	et intsctiua 	61
85|86	etiam est in nobis duplex appetitus, |videlicet, sensitiuus, 	sicut est in nobis duplex appetitus indelicet sensitiuus 	62
87	qui sequitur formam apprehensam per sensum: 	qui sequitur formam 	63
88	et intellectiuus, 	apprehensam per semsum intellectinis 	64
89	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	qui sequiter formam apprehensam |per indsctumpapetibus autere sensitis duplex en 	65|66
90|91	Nam cum animalia sint supra inanimata, |si natura elementis 	nam cum animalias sint supra in animatamsi natura elementis 	67
92|93	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	et rebus in ammatis dedit potenciam unam per quam tendunt in propriam quictem 	68
94	et aliam per quam resistunt, 	et aliam per quam resistunt 	69
95	et agunt in prohibentia, 	et agunt in prohibencia 	70
96	et in contraria: 		
97	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	et contraria multo magis hereat dupplicem potenciam |et dedit ipsianimalibus 	71|72
98	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	que sunt perfecciora illise uidemus enom quod ignis est naturaliter calidus 	73
99	et leuis per leuitatem autem tendit in locum proprium, 	et leuis per leuitatem autem tendit in locum proprium 	74
100	et in quietem sibi conuenientem: 		
101|102	per caliditatem vero agit in contraria: |ne ergo ignis per quaecunque contraria agentia impediretur, 	et in quietem igitu conuementem per caliditatem uero agit in contra nasic eigo ignis per quecique contrana agentia inipediretur 	75
103|104	ne per leuitatem in proprio loco quiesceret, |dedit ei natura potentiam calefactiuam, 	ne per leuitatem in perprio lo co quiescere dedit ei natura potentiam calefactiuampeream resisteret 	76
105	ut per eam resisteret, et ageret in contraria corruptiua. 	et ageret i contraria corruptura 	77
106	Si ergo igni, 	si igitur igni 	78
107	et rebus inanimatis natura dedit duplicem potentiam, 	et rebus |in animatis natura dedit duplicem potem 	79|80
108	unam per quam adipiscuntur propriam quietem, 	clam unam per quam adipiscuntur 	81
109	et aliam per quam agunt in prohibentia et contraria: 	propriam quietem et aliam per quam agunt in prohibencia 	82
110	multo magis hoc dedit animalibus. 	et contraria o multo magis hoc dedit animalibus tribuit 	83
111	Tribuit ergo eis duplicem appetitum sensitiuum, 	ergo eis triplicem appetitum sensitiuum 	84
112	unum per quem prosequuntur propriam quietem, 	unum perquam prosequatur |propriam quietem 	85|86
113	et propriam delectationem, 	et propriam delectacon nem 	87
114	ut concupiscibilem: 	ut concupiscibile . 	88
115	et alium per quem resistunt, 	alium per quam resistunt 	89
116	et aggrediuntur prohibitiua, 	et aggreduuntur prohibitiua 	90
117	ut contraria, 	et contraria 	91
118|119	ut irascibilem. |Ita quod concupiscibilis se habet sicut leuitas, 	ut irascibilem ita quod concupiscibilis se hente sicut leuitas uel grauitas in leubus 	92
120	vel grauitas, 	et grauibetus irascibilis uero se het 	93
121|122	in leuibus, |et grauibus. Irascibilis vero se habet quasi caliditas, 	quasi caliditas 	94
123	vel frigiditas in eis. 	et frigiditas in cis 	95
124	Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente, 	nam sic grauia per grauitatem recedunt |a locoo sursum tanquam autem conueniente cedunt in locum deorsum 	96|97
125	et tendunt in locum deorsum tanquam ad locum conuenientem, 	tanquam ad locum contraentem 	98
126|127	et conformem: |per frigiditatem vero resistunt contrariis, 	et conformem per frigiditatem uo restituunt contrariis 	99
128|129	ne corrumpantur a propria natura, |et deserant propria loca, 	ne corrumpantu appria natina . deserant prpria loca 	100
130|131	et propriam quietem. |Sic animalia per concupiscibilem fugiunt mala tristia, 	et propriam quietem sic et aminalia per con cupiscibilem fugiunt 	101
		malatristia 	102
132	et prosequuntur bona delectabilia. 	et prosequntur bona delectabilia 	103
133	Per irascibilem vero aggrediuntur contraria, 	per irascibilem uemaggrediuntur coutraria que possent 	104
134	quae possent ea ab huiusmodi delectationibus prohibere. 	ea ab huius delctaciones prohibere 	105
135	Ut Leo per concupiscibilem pergit, 	ut leo |per concupiscibilem pergit 	106|107
136|137	ut prosequatur cibum |tanquam quid delectabile: 	ut prosequater cibum tanquam aliquid delettabile 	108
138	per irascibilem vero aggreditur animalia illa volentia ipsum prohibere in cibo adepto. 	per irabilem uero aggreditur animalia uolencia ipsum prohibe 	109
139	Propter quod bene dictum est, 	acibo adepto propter quem benedictum est 	110
140|141	quod concupiscibilis respicit bonum, |et malum 	quod concipiscibilis respericit bonum etmalum 	111
142|143	secundum se: |irascibilis vero respicit bonum, 	secundum se irascionili uero respicit bonum . malran in quantum habent ronnem difficilis 	112
144	et malum inquantum habent rationem difficilis, 	.ardium 	113
145	et ardui. Nam cum bonum 	nam cum bonum scdmsedicat 	114
146|147	secundum se dicat prosequendum, |malum vero quid fugiendum: 	quid prose quendum malum uero 	115
148|149	concupiscibilis, |quae secundum se tendit in quietem 	quid fugiendum concupiscipilis ouidere secundur se tendit inquietem 	116
150	et in bona delectabilia, 	et in bonon delectabilia 	117
151|152	et fugit mala tristia, |pro obiecto habet mala, 	et fugit malatristia pro obiecto habent bona et mala sensibilia scdm sei considata irascibilis uerd 	118
153	et bona sensibilia 		
154	secundum se considerata. Irascibilis vero, 		
155	secundum quam aggredimur, 	secundum quam aggredimur 	119
156	et resistimus prohibentibus, 	et resistimus prohibentibus 	120
157	et nociuis, 	et nocuiis 	121
158	tendit in bona, et mala sensibilia, 	et tenditu tona . |mala sensibiliam 	122|123
159	non secundum se considerata, 	non sconum se considata set 	124
160	sed ut habent rationem ardui, 	ut hatranem ardui 	125
161|162	et difficilis: |nam arduitas, 	et difficilis ram ex diutas 	126
163	et difficultas potissime sunt repugnantia, 	et difficultas potissime sunt repugnantiam 	127
164	et prohibentia, 	et prohibencia 	128
165	ne possimus consequi bonum, 	ne possimus conseque bonum 	129
